t	RBG	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i*	TB
792	9	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	10	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	11	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	12	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
793	1	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	2	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	3	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	4	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	5	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	6	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	7	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	8	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	9	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	10	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	11	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
793	12	63634.5	4829.1	19648.9	24456.2	16792.4	15618.5	4592	7919.48	6277.83	6947.53	4	488
794	1	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	2	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	3	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
