% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2908	1	2	2	0	14	807	0	1
2910	1	2	2	0	14	807	0	1
2915	1	2	2	0	8	437	0	1
2924	1	1	1	0	2	65	0	1
2924	1	2	2	0	8	209	0	1
2926	1	2	2	0	8	437	0	1
2931	1	2	2	0	8	437	0	1
2934	1	2	2	0	8	437	0	1
2944	1	2	2	0	6	325	0	1
2945	1	2	2	0	6	325	0	1
2949	1	1	1	0	0	41	0	1
2949	1	2	2	0	6	153	0	1
2951	1	1	1	0	0	41	0	1
2951	1	2	2	0	12	301	0	1
2952	1	2	2	0	12	621	0	1
3047	1	1	1	0	6	153	0	1
3048	1	2	2	0	8	437	0	1
3069	1	2	2	0	12	621	0	1
3072	1	2	2	0	12	621	0	1
3074	1	2	2	0	12	621	0	1
3076	1	2	2	0	14	807	0	1
3078	1	2	2	0	14	807	0	1
3088	1	2	2	0	12	301	0	1
3090	1	2	2	0	12	301	0	1
3093	1	2	2	0	12	301	0	1
3095	1	2	2	0	18	485	0	1
3098	1	2	2	0	18	485	0	1
3106	1	2	2	0	12	301	0	1
3107	1	2	2	0	12	301	0	1
3109	1	2	2	0	12	301	0	1
3111	1	2	2	0	12	301	0	1
3113	1	2	2	0	12	301	0	1
3114	1	2	2	0	12	301	0	1
3126	1	2	2	0	12	301	0	1
3127	1	2	2	0	12	301	0	1
3130	1	2	2	0	12	301	0	1
3133	1	2	2	0	4	105	0	1
3134	1	2	2	0	4	105	0	1
3135	1	2	2	0	4	105	0	1
3137	1	2	2	0	6	153	0	1
3146	1	2	2	0	6	153	0	1
3148	1	2	2	0	6	153	0	1
3151	1	2	2	0	6	153	0	1
3153	1	2	2	0	6	153	0	1
3154	1	2	2	0	6	153	0	1
3155	1	2	2	0	12	301	0	1
3157	1	2	2	0	12	301	0	1
3164	1	2	2	0	8	209	0	1
3166	1	2	2	0	8	209	0	1
3169	1	2	2	0	8	209	0	1
3171	1	2	2	0	14	389	0	1
3172	1	2	2	0	14	389	0	1
3176	1	2	2	0	12	301	0	1
3177	1	2	2	0	12	301	0	1
3183	1	2	2	0	4	105	0	1
3185	1	2	2	0	4	105	0	1
3187	1	2	2	0	4	105	0	1
3188	1	2	2	0	4	105	0	1
3189	1	2	2	0	4	105	0	1
3190	1	2	2	0	12	301	0	1
3191	1	2	2	0	12	301	0	1
3194	1	2	2	0	4	105	0	1
3207	1	1	1	0	4	105	0	1
3208	1	2	2	0	8	437	0	1
3209	1	2	2	0	8	437	0	1
3211	1	2	2	0	8	437	0	1
3213	1	2	2	0	8	437	0	1
3217	1	2	2	0	18	999	0	1
3227	1	2	2	0	14	807	0	1
3228	1	2	2	0	14	807	0	1
3229	1	2	2	0	14	807	0	1
3230	1	2	2	0	14	807	0	1
3231	1	2	2	0	14	807	0	1
3232	1	2	2	0	14	807	0	1
3233	1	2	2	0	14	807	0	1
3234	1	1	1	0	4	225	0	1
3236	1	2	2	0	10	501	0	1
3237	1	2	2	0	8	437	0	1
3238	1	2	2	0	4	225	0	1
3240	1	1	1	0	4	225	0	1
3246	1	2	2	0	4	225	0	1
3247	1	2	2	0	4	225	0	1
3248	1	2	2	0	4	225	0	1
3249	1	2	2	0	4	225	0	1
3251	1	2	2	0	4	225	0	1
3252	1	2	2	0	4	225	0	1
3256	1	1	1	0	2	137	0	1
3260	1	1	1	0	2	137	0	1
3265	1	2	2	0	6	325	0	1
3267	1	2	2	0	6	325	0	1
3269	1	2	2	0	6	325	0	1
3276	1	1	1	0	2	137	0	1
3280	1	1	1	0	2	137	0	1
3295	1	1	1	0	8	209	0	1
3368	1	2	2	0	0	41	0	1
3369	1	2	2	0	0	41	0	1
3370	1	2	2	0	0	41	0	1
3371	1	2	2	0	0	41	0	1
3388	1	2	2	0	10	233	0	1
3391	1	2	2	0	10	233	0	1
3393	1	2	2	0	10	233	0	1
3406	1	2	2	0	8	209	0	1
3408	1	2	2	0	8	209	0	1
3410	1	2	2	0	8	209	0	1
3412	1	2	2	0	8	209	0	1
3426	1	2	2	0	18	485	0	1
3427	1	2	2	0	18	485	0	1
3429	1	2	2	0	18	485	0	1
3431	1	2	2	0	18	485	0	1
3446	1	2	2	0	12	301	0	1
3448	1	2	2	0	12	301	0	1
3449	1	2	2	0	12	301	0	1
3450	1	2	2	0	12	301	0	1
3464	1	2	2	0	2	65	0	1
3466	1	2	2	0	2	65	0	1
3467	1	2	2	0	2	65	0	1
3470	1	2	2	0	2	65	0	1
3471	1	2	2	0	16	453	0	1
3473	1	2	2	0	14	389	0	1
3483	1	2	2	0	14	389	0	1
3485	1	2	2	0	14	389	0	1
3487	1	2	2	0	14	389	0	1
3489	1	2	2	0	14	389	0	1
3502	1	2	2	0	10	233	0	1
3504	1	2	2	0	10	233	0	1
3506	1	2	2	0	10	233	0	1
3508	1	2	2	0	10	233	0	1
3510	1	2	2	0	2	65	0	1
3527	1	1	1	0	2	65	0	1
3528	1	1	1	0	2	65	0	1
3528	1	2	2	0	16	453	0	1
3529	1	1	1	0	2	65	0	1
3529	1	2	2	0	16	453	0	1
3531	1	2	2	0	16	967	0	1
3559	1	1	1	0	2	65	0	1
3559	1	2	2	0	16	453	0	1
