% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.358	1	2	136	9	2	10	469	0	0
1.359	1	2	136	10	2	10	469	0	0
1.36	1	1	137	1	1	14	775	0	0
1.361	1	2	137	2	2	10	469	0	0
1.362	1	2	137	3	2	12	597	0	0
1.363	1	2	137	4	2	12	597	0	0
1.364	1	2	137	5	2	20	1191	0	0
1.373	1	1	138	4	1	18	967	0	0
1.374	1	2	138	5	2	20	1191	0	0
1.375	1	2	138	6	2	20	1191	0	0
1.376	1	2	138	7	2	28	2196	0	0
1.377	1	2	138	8	2	28	2196	0	0
1.378	1	1	138	9	1	14	775	0	0
1.379	1	1	138	10	1	14	775	0	0
1.38	1	1	139	1	1	10	469	0	0
1.381	1	1	139	2	1	10	469	0	0
1.382	1	1	139	3	1	12	597	0	0
1.383	1	1	139	4	1	12	597	0	0
1.384	1	1	139	5	1	10	469	0	0
1.385	1	1	139	6	1	10	469	0	0
1.397	1	1	140	8	1	12	597	0	0
1.398	1	1	140	9	1	8	421	0	0
1.399	1	1	140	10	1	8	421	0	0
1.4	1	1	141	1	1	4	217	0	0
1.401	1	1	141	2	1	4	217	0	0
1.402	1	1	141	3	1	10	469	0	0
1.403	1	1	141	4	1	10	469	0	0
1.404	1	1	141	5	1	4	217	0	0
1.405	1	1	141	6	1	4	217	0	0
1.406	1	1	141	7	1	10	469	0	0
1.407	1	1	141	8	1	10	469	0	0
1.408	1	1	141	9	1	14	775	0	0
1.417	1	1	142	8	1	6	309	0	0
1.418	1	1	142	9	1	14	775	0	0
1.419	1	1	142	10	1	14	775	0	0
1.42	1	1	143	1	1	18	967	0	0
1.423	1	1	143	4	1	8	421	0	0
1.424	1	1	143	5	1	12	597	0	0
1.425	1	1	143	6	1	12	597	0	0
1.426	1	1	143	7	1	12	597	0	0
1.427	1	1	143	8	1	12	597	0	0
1.428	1	1	143	9	1	10	469	0	0
1.436	1	1	144	7	1	8	421	0	0
1.437	1	1	144	8	1	8	421	0	0
1.438	1	1	144	9	1	14	775	0	0
1.439	1	1	144	10	1	14	775	0	0
1.44	1	1	145	1	1	10	469	0	0
1.441	1	1	145	2	1	10	469	0	0
1.442	1	1	145	3	1	20	1191	0	0
1.443	1	1	145	4	1	20	1191	0	0
1.444	1	1	145	5	1	14	775	0	0
1.445	1	1	145	6	1	14	775	0	0
1.452	1	2	146	3	2	16	903	0	0
1.453	1	2	146	4	2	16	903	0	0
1.454	1	2	146	5	2	10	469	0	0
1.455	1	2	146	6	2	10	469	0	0
1.456	1	2	146	7	2	18	967	0	0
1.457	1	2	146	8	2	18	967	0	0
1.458	1	2	146	9	2	18	967	0	0
1.459	1	2	146	10	2	18	967	0	0
1.46	1	2	147	1	2	20	1191	0	0
1.461	1	1	147	2	1	14	775	0	0
1.464	1	1	147	5	1	16	903	0	0
1.465	1	1	147	6	1	16	903	0	0
1.466	1	1	147	7	1	12	597	0	0
1.467	1	1	147	8	1	12	597	0	0
1.468	1	1	147	9	1	10	469	0	0
1.469	1	1	147	10	1	10	469	0	0
1.47	1	1	148	1	1	16	903	0	0
1.471	1	1	148	2	1	16	903	0	0
1.472	1	2	148	3	2	20	1191	0	0
1.473	1	2	148	4	2	20	1191	0	0
1.474	1	2	148	5	2	24	1620	0	0
1.475	1	2	148	6	2	24	1620	0	0
1.476	1	2	148	7	2	18	967	0	0
1.477	1	2	148	8	2	18	967	0	0
1.478	1	1	148	9	1	16	903	0	0
1.479	1	1	148	10	1	16	903	0	0
1.48	1	2	149	1	2	14	775	0	0
1.481	1	2	149	2	2	14	775	0	0
1.491	1	2	150	2	2	24	1620	0	0
1.492	1	2	150	3	2	12	597	0	0
1.493	1	2	150	4	2	12	597	0	0
1.494	1	2	150	5	2	18	967	0	0
1.495	1	2	150	6	2	18	967	0	0
1.496	1	2	150	7	2	6	309	0	0
1.497	1	2	150	8	2	6	309	0	0
1.498	1	2	150	9	2	10	469	0	0
1.499	1	2	150	10	2	10	469	0	0
1.5	1	2	151	1	2	20	1191	0	0
1.501	1	2	151	2	2	20	1191	0	0
1.502	1	2	151	3	2	22	1383	0	0
1.51	1	2	152	1	2	12	597	0	0
1.511	1	2	152	2	2	12	597	0	0
1.512	1	2	152	3	2	8	421	0	0
1.513	1	2	152	4	2	8	421	0	0
1.514	1	2	152	5	2	18	967	0	0
1.515	1	2	152	6	2	18	967	0	0
1.516	1	2	152	7	2	12	597	0	0
1.517	1	2	152	8	2	12	597	0	0
1.518	1	2	152	9	2	14	775	0	0
1.519	1	2	152	10	2	14	775	0	0
1.52	1	2	153	1	2	22	1383	0	0
1.521	1	2	153	2	2	22	1383	0	0
1.53	1	2	154	1	2	16	903	0	0
1.531	1	2	154	2	2	16	903	0	0
1.532	1	2	154	3	2	20	1191	0	0
1.533	1	2	154	4	2	20	1191	0	0
1.534	1	2	154	5	2	20	1191	0	0
1.535	1	2	154	6	2	20	1191	0	0
1.536	1	2	154	7	2	12	597	0	0
1.537	1	2	154	8	2	12	597	0	0
1.538	1	2	154	9	2	12	597	0	0
1.539	1	2	154	10	2	12	597	0	0
1.549	1	2	155	10	2	22	1383	0	0
1.55	1	2	156	1	2	22	1383	0	0
1.551	1	2	156	2	2	22	1383	0	0
1.552	1	2	156	3	2	22	1383	0	0
1.553	1	2	156	4	2	22	1383	0	0
1.554	1	2	156	5	2	24	1620	0	0
1.555	1	2	156	6	2	24	1620	0	0
1.567	1	2	157	8	2	18	967	0	0
1.568	1	2	157	9	2	16	903	0	0
1.569	1	2	157	10	2	16	903	0	0
1.57	1	2	158	1	2	20	1191	0	0
1.571	1	2	158	2	2	20	1191	0	0
1.572	1	2	158	3	2	22	1383	0	0
1.573	1	2	158	4	2	22	1383	0	0
1.574	1	2	158	5	2	6	309	0	0
1.575	1	2	158	6	2	6	309	0	0
1.576	1	2	158	7	2	22	1383	0	0
1.577	1	2	158	8	2	22	1383	0	0
1.587	1	2	159	8	2	20	1191	0	0
1.588	1	2	159	9	2	12	597	0	0
1.589	1	2	159	10	2	12	597	0	0
1.59	1	2	160	1	2	20	1191	0	0
1.591	1	2	160	2	2	20	1191	0	0
1.592	1	2	160	3	2	26	1836	0	0
1.593	1	2	160	4	2	26	1836	0	0
1.594	1	2	160	5	2	24	1620	0	0
1.595	1	2	160	6	2	24	1620	0	0
1.596	1	2	160	7	2	22	1383	0	0
1.607	1	2	161	8	2	24	1620	0	0
1.608	1	2	161	9	2	20	1191	0	0
1.609	1	2	161	10	2	20	1191	0	0
1.61	1	2	162	1	2	22	1383	0	0
1.611	1	2	162	2	2	22	1383	0	0
1.612	1	2	162	3	2	12	597	0	0
1.613	1	2	162	4	2	12	597	0	0
1.614	1	2	162	5	2	20	1191	0	0
1.615	1	2	162	6	2	20	1191	0	0
1.616	1	2	162	7	2	18	967	0	0
1.625	1	2	163	6	2	12	597	0	0
1.626	1	2	163	7	2	4	217	0	0
1.627	1	2	163	8	2	4	217	0	0
1.628	1	2	163	9	2	4	217	0	0
1.629	1	2	163	10	2	4	217	0	0
1.63	1	2	164	1	2	18	967	0	0
1.631	1	2	164	2	2	18	967	0	0
1.632	1	2	164	3	2	20	1191	0	0
1.633	1	2	164	4	2	20	1191	0	0
1.634	1	2	164	5	2	12	597	0	0
1.635	1	2	164	6	2	12	597	0	0
1.636	1	2	164	7	2	14	775	0	0
1.637	1	2	164	8	2	14	775	0	0
1.638	1	2	164	9	2	22	1383	0	0
1.639	1	2	164	10	2	22	1383	0	0
1.646	1	2	165	7	2	24	1620	0	0
1.647	1	2	165	8	2	24	1620	0	0
1.648	1	2	165	9	2	22	1383	0	0
1.649	1	2	165	10	2	22	1383	0	0
1.65	1	2	166	1	2	20	1191	0	0
